sex,cohort,source,g0,g1,g2,g3,h_young,h_old,delta,g0_raw,g1_raw,g2_raw,g3_raw
male,2072,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2073,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2074,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2075,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2076,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2077,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2078,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2079,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2080,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2081,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2082,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2083,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
